GPStime,snr,label,Q-value
1256656529.746,8.199,Blip_Low_Frequency,5.657
1256657570.055,7.53,Low_Frequency_Burst,11.314
1256663977.141,11.548,Low_Frequency_Burst,11.314
1256664707.777,8.124,Blip_Low_Frequency,5.657
1256666262.297,10.123,Fast_Scattering,11.314
1256667120.757,16.574,Blip,5.657
1256667865.973,8.75,Blip_Low_Frequency,5.657
1256667990.25,16.391,Low_Frequency_Lines,45.255
1256669055.742,8.599,Blip,5.657
1256671846.965,19.206,Tomte,5.657
1256673968.801,18.332,Tomte,5.657
1256674995.811,137.261,Koi_Fish,5.657
1256675063.786,367.473,Koi_Fish,5.657
1256675064.633,8.129,Blip,5.657
1256675490.648,9.287,Fast_Scattering,11.314
1256676126.641,8.606,Fast_Scattering,11.314
1256676505.416,8.857,Blip_Low_Frequency,5.657
1256676970.403,16.696,Blip_Low_Frequency,5.657
1256676997.973,8.128,Tomte,5.657
1256677072.84,1468.366,Extremely_Loud,11.314
1256677182.75,9.586,Low_Frequency_Lines,45.255
1256677512.25,11.09,Low_Frequency_Lines,45.255
1256677851.916,1503.484,Extremely_Loud,5.657
1256678631.128,49.308,Koi_Fish,5.657
1256682390.377,614.596,Extremely_Loud,5.657
1256683467.434,16.525,Tomte,5.657
1256684451.227,478.834,Extremely_Loud,11.314
1256684568.75,8.455,Low_Frequency_Lines,45.255
1256685079.655,794.152,Extremely_Loud,5.657
1256686094.959,20.966,Blip_Low_Frequency,5.657
1256687174.731,15.975,Blip,5.657
1256688744.742,852.824,Extremely_Loud,11.314
1256688801.168,8.38,Tomte,5.657
1256689245.639,10.852,Tomte,5.657
1256693320.717,8.258,Blip,5.657
1256694518.229,360.602,Koi_Fish,5.657
1256695141.979,7.696,Blip,5.657
1256695581.494,8.015,Blip_Low_Frequency,5.657
1256697828.201,11.205,Blip_Low_Frequency,5.657
1256699969.192,11.509,Blip,5.657
1256700097.76,11.003,Blip_Low_Frequency,5.657
1256701132.91,7.561,Blip_Low_Frequency,5.657
1256701588.843,1106.969,Koi_Fish,5.657
1256702256.434,14.422,Tomte,5.657
1256705750.533,8.74,Blip,5.657
1256706742.23,17.263,Tomte,5.657
1256710296.064,8.366,Blip_Low_Frequency,5.657
1256711328.332,8.309,Blip_Low_Frequency,5.657
1256711354.191,744.151,Koi_Fish,5.657
1256712858.43,8.492,Blip,5.657
1256713818.224,1181.592,Extremely_Loud,5.657
1256714430.035,11.446,Tomte,5.657
1256715248.194,295.376,Koi_Fish,5.657
1256720300.146,10.787,Tomte,5.657
1256723780.012,20.745,Tomte,5.657
