GPStime,snr,label,Q-value
1256655696.082,43.506,Tomte,5.657
1256655744.059,8.933,Tomte,5.657
1256655987.494,10.279,Blip_Low_Frequency,5.657
1256656008.736,102.211,Koi_Fish,5.657
1256656011.039,16.237,Tomte,5.657
1256656115.645,30.71,Tomte,5.657
1256656529.746,8.199,Blip_Low_Frequency,5.657
1256656538.817,64.565,Koi_Fish,5.657
1256656542.174,115.851,Koi_Fish,5.657
1256656729.441,11.098,Tomte,5.657
1256656742.75,8.622,Low_Frequency_Lines,45.255
1256656852.574,12.179,Tomte,5.657
1256657040.303,9.314,Blip_Low_Frequency,5.657
1256657196.92,85.273,Koi_Fish,5.657
1256657220.488,13.481,Tomte,5.657
1256657299.324,12.037,Tomte,5.657
1256657339.664,10.565,Fast_Scattering,11.314
1256657368.922,8.57,Fast_Scattering,22.627
1256657385.602,9.09,Fast_Scattering,11.314
1256657390.453,10.301,Fast_Scattering,11.314
1256657401.797,10.461,Fast_Scattering,22.627
1256657404.016,9.706,Fast_Scattering,11.314
1256657406.641,9.974,Fast_Scattering,11.314
1256657417.547,9.76,Fast_Scattering,11.314
1256657420.172,12.219,Fast_Scattering,11.314
1256657514.525,238.29,Extremely_Loud,11.314
1256657570.055,7.53,Low_Frequency_Burst,11.314
1256657576.836,8.627,Fast_Scattering,22.627
1256657579.563,63.003,Scattered_Light,45.255
1256657584.063,24.601,Scattered_Light,45.255
1256657593.039,8.986,Fast_Scattering,11.314
1256663972.688,10.967,Low_Frequency_Burst,11.314
1256663977.141,11.548,Low_Frequency_Burst,11.314
1256664025.469,11.375,Low_Frequency_Burst,11.314
1256664033.512,8.807,Tomte,5.657
1256664093.082,9.114,Tomte,5.657
1256664105.941,12.918,Tomte,5.657
1256664346.555,1567.712,Extremely_Loud,5.657
1256664550.09,9.759,Tomte,5.657
1256664663.16,10.902,Tomte,5.657
1256664707.777,8.124,Blip_Low_Frequency,5.657
1256664775.043,10.846,Tomte,5.657
1256664826.773,9.584,Fast_Scattering,11.314
1256665105.223,12.396,Tomte,5.657
1256665155.992,9.86,Fast_Scattering,11.314
1256665159.079,647.676,Koi_Fish,5.657
1256665401.137,14.784,Tomte,5.657
1256665403.502,7.85,Blip_Low_Frequency,5.657
1256665432.59,8.244,Tomte,5.657
1256665514.252,44.857,Koi_Fish,5.657
1256665597.168,20.893,Tomte,5.657
1256665619.58,9.328,Blip_Low_Frequency,5.657
1256665639.455,8.076,Blip,5.657
1256665875.777,10.879,Tomte,5.657
1256665948.184,11.433,Tomte,5.657
1256665978.225,44.267,Blip,5.657
1256666076.129,17.901,Tomte,5.657
1256666085.27,7.723,Blip_Low_Frequency,5.657
1256666096.949,8.123,Tomte,5.657
1256666197.887,19.215,Tomte,5.657
1256666262.297,10.123,Fast_Scattering,11.314
