,GPStime,snr,centralFreq,confidence,label
0,1238166408.179,12.088,211.877,1.0,Blip
1,1238168134.43,24.299,421.424,1.0,Whistle
2,1238168518.93,21.492,353.844,0.998,Whistle
3,1238177544.625,8.201,23.028,0.989,Low_Frequency_Lines
4,1238178725.515,10.69,181.356,1.0,Blip
5,1238184348.474,8.16,217.263,1.0,Blip
6,1238186085.87,388.34,3983.241,0.984,Extremely_Loud
7,1238205668.541,36.294,3703.979,0.997,Koi_Fish
8,1238210928.161,10.334,203.982,1.0,Blip
9,1238212171.06,12.358,203.982,1.0,Blip
10,1238258372.188,10.334,3298.676,0.996,Low_Frequency_Lines
11,1238270967.946,11.433,142.526,1.0,Blip
12,1238273567.154,1676.185,3080.93,1.0,Extremely_Loud
13,1238276152.721,16.633,108.381,0.989,Tomte
14,1238278332.648,17.138,1789.666,0.968,Whistle
15,1238281028.938,10.546,35.594,1.0,Scattered_Light
16,1238284675.435,50.996,1378.73,0.995,Koi_Fish
17,1238311656.688,15.557,1563.095,1.0,Scattered_Light
18,1238317898.172,7.532,23.057,0.998,Low_Frequency_Burst
19,1238318668.441,7.789,425.377,0.968,Whistle
20,1238319557.616,36.774,551.908,0.941,Koi_Fish
21,1238325600.021,39.416,3872.13,0.983,Koi_Fish
22,1238332460.351,8.674,175.97,1.0,Blip
23,1238334663.938,9.283,1644.648,1.0,Low_Frequency_Lines
24,1238338639.172,8.727,23.057,0.999,Low_Frequency_Burst
25,1238341159.438,9.467,20.838,0.996,Low_Frequency_Lines
26,1238342489.215,32.569,108.381,0.969,Tomte
27,1238342501.395,15.601,73.85,0.97,Tomte
28,1238342804.301,11.872,65.53,0.908,Tomte
29,1238343496.543,14.735,73.85,0.996,Tomte
30,1238349027.245,16.111,241.258,0.991,Blip
31,1238351278.938,7.91,20.411,1.0,Low_Frequency_Lines
32,1238351592.813,8.401,18.134,0.997,Low_Frequency_Lines
33,1238357214.438,8.181,509.683,0.93,Low_Frequency_Lines
34,1238359076.033,671.424,2198.445,1.0,Extremely_Loud
35,1238363904.094,10.063,23.057,0.97,Low_Frequency_Burst
36,1238363983.969,7.91,31.747,1.0,Scattered_Light
37,1238368850.281,7.738,892.791,0.975,Low_Frequency_Lines
38,1238369237.299,11.053,61.335,0.967,Tomte
39,1238369497.094,8.093,3393.298,0.969,Scattered_Light
40,1238376858.219,8.427,3240.109,0.995,Low_Frequency_Lines
41,1238377604.328,8.526,4056.544,0.991,Whistle
42,1238377745.875,8.583,17.666,0.995,Low_Frequency_Lines
43,1238377821.813,9.001,2463.069,0.999,Low_Frequency_Lines
44,1238378455.926,23.526,1873.912,0.908,Koi_Fish
45,1238378694.375,9.597,234.08,0.984,Low_Frequency_Lines
46,1238379611.875,7.964,3551.692,1.0,Low_Frequency_Lines
47,1238380453.375,10.516,2869.548,0.93,Low_Frequency_Lines
48,1238381017.078,7.65,20.195,0.999,Low_Frequency_Burst
49,1238381472.125,16.019,2930.829,0.973,Low_Frequency_Lines
50,1238381833.625,17.544,2836.932,0.959,Low_Frequency_Lines
51,1238382290.313,10.746,2563.995,0.998,Scattered_Light
52,1238383123.516,8.458,3659.138,0.975,Low_Frequency_Burst
53,1238383573.625,14.849,2479.719,0.976,Scattered_Light
54,1238383874.625,20.83,3409.167,0.938,Scattered_Light
55,1238383978.813,8.117,30.5,1.0,Scattered_Light
56,1238384062.906,8.481,1488.125,0.996,Low_Frequency_Burst
57,1238384511.344,7.69,24.061,0.99,Low_Frequency_Lines
58,1238385129.125,29.013,3307.927,0.964,Low_Frequency_Lines
59,1238385414.344,8.326,23.057,0.956,Low_Frequency_Burst
60,1238385672.875,18.849,3945.854,0.926,Scattered_Light
61,1238387505.125,7.713,2319.234,1.0,Low_Frequency_Lines
62,1238387679.625,18.991,3367.249,0.978,Low_Frequency_Lines
63,1238387834.125,19.273,3409.167,0.925,Low_Frequency_Lines
64,1238387963.344,11.226,3240.109,0.903,Scattered_Light
65,1238388015.406,13.181,3615.396,0.995,Scattered_Light
66,1238388838.625,26.488,3835.788,0.994,Scattered_Light
67,1238388866.625,13.797,3192.406,0.998,Scattered_Light
68,1238389882.656,27.064,3746.261,0.999,Scattered_Light
69,1238389939.813,8.383,2964.093,1.0,Low_Frequency_Lines
70,1238390421.813,18.581,2634.428,1.0,Scattered_Light
71,1238390745.375,22.801,3881.874,0.998,Low_Frequency_Lines
72,1238390943.719,11.967,3680.246,0.928,Scattered_Light
73,1238392634.219,15.744,3872.13,1.0,Scattered_Light
74,1238392841.625,18.119,3881.874,0.955,Low_Frequency_Lines
75,1238392914.125,15.325,3813.464,0.948,Low_Frequency_Lines
76,1238393083.875,8.061,914.134,0.998,Scattered_Light
77,1238393361.875,12.324,20.195,0.991,Low_Frequency_Lines
78,1238393366.625,10.098,21.248,0.987,Low_Frequency_Lines
79,1238393730.969,8.567,22.252,0.907,Scattered_Light
80,1238393822.375,14.763,3136.171,0.909,Low_Frequency_Lines
81,1238393985.281,9.502,1564.972,0.998,Scattered_Light
82,1238394134.625,11.24,2341.528,0.986,Low_Frequency_Lines
83,1238394266.672,11.988,3881.874,0.955,Scattered_Light
84,1238394294.875,10.182,3882.721,0.998,Low_Frequency_Lines
85,1238394394.531,9.297,30.785,1.0,Scattered_Light
86,1238394782.344,11.413,38.215,0.986,Scattered_Light
87,1238394972.875,19.309,3835.788,0.922,Low_Frequency_Lines
88,1238395043.125,7.591,3747.653,0.974,Low_Frequency_Lines
89,1238395066.469,16.788,3764.125,1.0,Scattered_Light
90,1238395436.875,10.773,2836.932,0.934,Scattered_Light
91,1238395957.375,14.224,3983.241,0.961,Low_Frequency_Lines
92,1238395981.656,7.913,29.253,0.946,Scattered_Light
93,1238396441.781,9.934,2966.209,0.989,Scattered_Light
94,1238396447.719,8.35,2967.5,1.0,Scattered_Light
95,1238396478.969,8.68,30.785,1.0,Scattered_Light
96,1238396615.375,11.095,18.815,0.999,Low_Frequency_Lines
97,1238396676.719,8.276,32.555,1.0,Scattered_Light
98,1238396963.625,10.378,3946.375,0.998,Low_Frequency_Lines
99,1238397112.344,9.527,3908.818,0.999,Scattered_Light
100,1238397206.125,13.991,834.26,1.0,Scattered_Light
101,1238397441.281,7.707,1933.258,0.984,Scattered_Light
102,1238397499.906,8.92,2964.093,0.997,Scattered_Light
103,1238398458.125,16.735,3146.814,0.919,Low_Frequency_Lines
104,1238398489.625,12.688,3813.464,0.913,Low_Frequency_Lines
105,1238398846.375,9.87,3881.874,1.0,Scattered_Light
106,1238398984.125,8.267,2964.093,0.995,Low_Frequency_Lines
107,1238399209.375,11.285,3881.874,1.0,Low_Frequency_Lines
108,1238399410.344,9.444,26.59,1.0,Low_Frequency_Burst
109,1238399733.219,8.783,1851.955,0.965,Scattered_Light
110,1238399808.484,14.46,3703.979,0.991,Scattered_Light
111,1238400044.125,15.175,3983.241,1.0,Scattered_Light
112,1238400179.93,9.759,4037.344,0.998,Whistle
113,1238400568.125,14.067,3192.406,0.995,Low_Frequency_Lines
114,1238400676.125,17.696,20.195,0.998,Low_Frequency_Lines
115,1238400720.875,13.304,3799.787,0.996,Low_Frequency_Lines
116,1238401237.125,9.325,18.815,0.998,Low_Frequency_Lines
117,1238401431.906,8.748,3881.874,1.0,Scattered_Light
118,1238401707.875,22.712,3983.241,0.984,Low_Frequency_Lines
119,1238401785.406,8.993,25.004,0.999,Scattered_Light
120,1238401823.703,8.163,37.578,0.981,Low_Frequency_Burst
121,1238402327.625,13.937,2810.325,0.999,Low_Frequency_Lines
122,1238402520.875,8.128,18.629,0.984,Low_Frequency_Lines
123,1238402693.781,10.119,3837.665,0.998,Scattered_Light
124,1238402940.781,7.595,37.374,0.999,Low_Frequency_Lines
125,1238403314.422,8.475,43.395,0.998,Scattered_Light
126,1238403494.094,8.948,29.996,0.919,Scattered_Light
127,1238403562.375,16.459,23.127,0.976,Low_Frequency_Lines
128,1238404252.359,7.855,20.195,0.985,Low_Frequency_Lines
129,1238404288.531,15.333,3983.241,1.0,Scattered_Light
130,1238404462.875,11.51,2581.851,0.955,Low_Frequency_Lines
131,1238404977.047,8.253,26.59,0.998,Low_Frequency_Burst
132,1238405176.625,13.001,3881.874,0.981,Low_Frequency_Lines
133,1238405230.676,10.429,3240.109,0.997,Whistle
134,1238405347.906,8.483,3886.712,1.0,Scattered_Light
135,1238405534.875,9.935,1314.571,0.99,Low_Frequency_Lines
136,1238405879.125,15.079,3489.112,0.947,Low_Frequency_Lines
137,1238406635.344,8.158,645.405,0.986,Scattered_Light
138,1238406700.375,13.023,2579.423,0.998,Low_Frequency_Lines
139,1238407325.375,19.657,3983.241,0.956,Low_Frequency_Lines
140,1238407986.125,19.707,1776.794,0.996,Low_Frequency_Lines
141,1238408708.875,7.637,19.138,0.999,Low_Frequency_Lines
142,1238411558.125,22.909,3350.311,0.942,Low_Frequency_Lines
143,1238411825.094,18.069,156.63,0.999,Scattered_Light
144,1238412443.906,15.557,3983.241,0.964,Scattered_Light
145,1238412446.281,10.701,3748.139,0.984,Scattered_Light
146,1238412449.184,7.555,425.377,0.919,Whistle
147,1238412478.091,22.265,1472.718,1.0,Blip
148,1238412499.094,8.243,1300.967,0.934,Low_Frequency_Lines
149,1238412740.063,11.151,1113.448,1.0,Low_Frequency_Lines
