,GPStime,snr,centralFreq,confidence,label
0,1256656966.965,13.16,3312.122,0.951,Power_Line
1,1256658241.195,12.866,195.12,0.96,Extremely_Loud
2,1256658864.336,10.477,385.859,1.0,Whistle
3,1256659008.813,12.708,1584.511,0.999,Scattered_Light
4,1256660370.844,7.713,51.29,0.998,Air_Compressor
5,1256661944.102,12.957,386.276,0.999,Whistle
6,1256662298.664,10.311,441.012,0.999,Whistle
7,1256665953.332,9.36,364.25,0.976,Whistle
8,1256666570.266,7.567,2352.118,0.973,Power_Line
9,1256666920.133,8.818,386.276,0.961,Whistle
10,1256670210.531,8.977,3680.246,0.975,Low_Frequency_Lines
11,1256670334.285,329.306,161.018,1.0,Extremely_Loud
12,1256670425.604,13.111,96.359,1.0,Blip
13,1256670541.219,7.606,3558.09,0.97,Low_Frequency_Lines
14,1256670584.266,9.855,2095.165,0.992,Power_Line
15,1256671660.852,9.542,374.157,0.999,Whistle
16,1256678666.688,7.689,3983.241,1.0,Low_Frequency_Lines
17,1256685244.675,14.936,245.453,0.997,Blip
18,1256686301.342,21.359,89.302,1.0,Tomte
19,1256687936.52,8.868,51.198,0.91,Tomte
20,1256688837.941,105.712,3945.854,0.988,Extremely_Loud
21,1256691008.945,8.026,928.823,0.999,Air_Compressor
22,1256691466.348,4237.947,3703.979,1.0,Extremely_Loud
23,1256691478.688,9.16,2649.729,0.977,Air_Compressor
24,1256691568.938,7.83,2672.706,0.988,Low_Frequency_Lines
25,1256692271.766,7.986,3567.676,0.998,Air_Compressor
26,1256696563.363,31.145,1171.735,0.96,Tomte
27,1256696578.962,20.251,297.871,0.997,Blip
28,1256696979.246,86.886,161.018,0.999,Extremely_Loud
29,1256700884.938,8.508,3908.818,1.0,Low_Frequency_Lines
30,1256701269.191,135.971,1563.095,0.993,Extremely_Loud
31,1256701905.402,775.199,3945.854,1.0,Extremely_Loud
32,1256705088.969,8.22,50.112,0.998,Air_Compressor
33,1256707290.137,7.776,53.578,0.976,Air_Compressor
34,1256709558.629,12.509,94.141,0.95,Blip
35,1256711479.813,7.881,55.36,0.992,Power_Line
36,1256716852.918,20.721,73.85,0.99,Tomte
37,1256716865.406,7.767,48.831,0.979,Air_Compressor
38,1256718574.453,14.154,26.59,0.998,Low_Frequency_Burst
39,1256719153.664,7.976,26.59,0.951,Violin_Mode
40,1256720058.727,10.661,353.737,1.0,Whistle
41,1256723272.867,3457.686,3983.241,1.0,Extremely_Loud
42,1256734396.938,11.924,2741.265,0.97,Low_Frequency_Lines
43,1256736557.805,9.135,374.157,0.973,Whistle
44,1256738950.694,18.424,3950.049,1.0,Blip
45,1256739362.109,9.799,57.94,0.999,Power_Line
46,1256739387.219,8.133,57.94,1.0,Power_Line
47,1256741968.492,7.818,505.981,0.999,Violin_Mode
48,1256743923.445,8.047,502.727,0.971,Violin_Mode
49,1256746526.656,12.893,3881.874,0.997,Low_Frequency_Burst
50,1256746982.531,8.813,2741.265,0.914,Scattered_Light
51,1256747016.74,685.076,2741.265,0.999,Extremely_Loud
52,1256747904.938,7.87,47.88,0.91,Air_Compressor
53,1256748897.156,14.138,3813.464,0.927,Low_Frequency_Burst
54,1256749504.563,10.508,2634.428,0.931,Low_Frequency_Lines
55,1256749618.313,7.645,3693.803,0.999,Low_Frequency_Lines
56,1256749953.531,8.599,20.195,0.997,Low_Frequency_Lines
57,1256750811.634,10.876,211.877,1.0,Blip
58,1256753210.781,7.993,23.577,0.994,Scattered_Light
59,1256753748.563,7.948,637.651,1.0,Low_Frequency_Lines
60,1256753807.281,7.746,23.057,0.995,Low_Frequency_Burst
61,1256755140.844,8.354,23.057,0.996,Low_Frequency_Lines
62,1256755902.063,9.491,3764.125,0.995,Low_Frequency_Lines
63,1256756412.723,8.269,207.297,0.961,Whistle
64,1256759162.039,35.802,3945.854,0.956,Extremely_Loud
65,1256759168.914,16.128,3489.112,0.942,Extremely_Loud
66,1256763359.207,12.302,61.335,0.973,Tomte
67,1256766509.563,10.507,2241.698,0.96,Low_Frequency_Lines
68,1256766693.279,7.941,84.44,1.0,Blip
69,1256768301.938,7.52,46.822,0.989,Air_Compressor
70,1256768935.063,8.746,2648.365,0.994,Power_Line
71,1256769450.718,8.196,3892.468,1.0,Blip
72,1256769667.597,14.705,207.515,1.0,Blip
73,1256770805.105,7.915,296.242,0.998,Whistle
74,1256771357.104,8.098,68.391,0.999,Blip
75,1256776520.313,7.638,46.916,0.996,Air_Compressor
76,1256777764.406,8.409,20.195,0.949,Low_Frequency_Lines
77,1256788082.703,7.999,52.562,0.957,Air_Compressor
78,1256790982.003,8.354,109.64,0.999,Blip
